diameterum,index,type,laser,sweepType,intrinsicQualityFactor,couplingQualityFactor,centerWavelengthnm,resnormFit
6.36,1,toroid,Santec,DC sweep,2277.20856965644,19997.7130196023,1487.53365682085,0.0342228391492543
6.36,1,toroid,Santec,DC sweep,14396.8364703,1368735.22647611,1528.57603298651,0.00149851081551547
6.36,1,toroid,Santec,DC sweep,5888.84765804003,2518627.82333181,1528.75543235639,0.0252861406132528
6.36,1,toroid,Santec,DC sweep,2467.42426716136,69515.3773246979,1534.81296586457,0.0230605796117014
6.36,1,toroid,Santec,DC sweep,1583.61431176634,52662.8009905262,1602.88631913174,0.0285687650946043
6.36,2,disc,Santec,DC sweep,20716.2000293609,576768.316702837,1483.15931622095,0.00130914168803632
6.36,2,disc,Santec,DC sweep,23063.0438332843,433622.607289849,1483.33017735025,0.183226201943228
6.36,2,disc,Santec,DC sweep,9664.81791600718,57406.7673710075,1485.59272256084,0.00893646234240933
6.36,2,disc,Santec,DC sweep,2978.46667045886,57454.5169047536,1489.47920410242,0.01704425435341
6.36,2,disc,Santec,DC sweep,4771.20200569397,265924.064649507,1528.4850959306,0.00561514418270514
6.36,2,disc,Santec,DC sweep,1405.40459665961,49095.0195436646,1540.92542959304,0.0140814322632314
6.36,2,disc,Santec,DC sweep,2587.43184035183,194425.225007971,1550.51260048082,0.0162433269550728
6.36,2,disc,Santec,DC sweep,2748.21056680123,63376.5709501185,1584.00685024494,0.189402287895134
